id,slug,pet_number,pet_name,species,age,age_unit,sex,reproductive_status,color,source,image_path,archive_reason,archive_notes,archived_at,created_at,updated_at,age_months,log_age_months,was_adopted,adoption_probability,age_group
322,feline-orange-1758598256-0i3hb,32,N/A,feline,9.0,years,male,neutered,orange,surrendered,pet-images/pet32_20250923113056.jfif,,,,2025-09-23 11:30:56,2025-09-25 21:30:38,108.0,4.6913478822291435,0,0.017205472336185416,5-10y
330,feline-bi-color-1758598568-yct8w,37,N/A,feline,6.0,years,female,neutered,bi-color,rescued,pet-images/pet37_20250923113608.jfif,,,,2025-09-23 11:36:08,2025-09-23 11:36:08,72.0,4.290459441148391,0,0.024830170943792224,5-10y
331,feline-orange-1758598631-rmulf,38,N/A,feline,7.0,years,male,neutered,orange,surrendered,pet-images/pet38_20250923113711.jfif,,,,2025-09-23 11:37:11,2025-09-23 11:37:11,84.0,4.442651256490317,0,0.02557884174960904,5-10y
336,feline-orange-1758598808-cfgjz,41,N/A,feline,5.0,years,female,neutered,orange,rescued,pet-images/pet41_20250923114008.jfif,,,,2025-09-23 11:40:08,2025-09-23 11:40:08,60.0,4.110873864173311,0,0.03298916302507595,2-5y
328,feline-orange-1758598493-3tjjy,36,N/A,feline,5.0,years,male,neutered,orange,surrendered,pet-images/pet36_20250923113453.jpg,,,,2025-09-23 11:34:53,2025-09-23 11:34:53,60.0,4.110873864173311,0,0.04312145352047293,2-5y
333,feline-orange-1758598702-1onhf,39,N/A,feline,4.0,years,female,intact,orange,rescued,pet-images/pet39_20250923113822.jpg,,,,2025-09-23 11:38:22,2025-09-23 11:38:22,48.0,3.8918202981106265,0,0.04647634344527204,2-5y
329,feline-white-1758598530-b5rd3,18,Unnamed,feline,4.0,years,male,intact,white,surrendered,pet-images/pet18_20250923113530.jpg,,,,2025-09-23 11:35:30,2025-09-23 11:35:30,48.0,3.8918202981106265,0,0.06049195249014813,2-5y
340,feline-tabby-1758598953-bxybe,44,N/A,feline,4.0,years,male,neutered,tabby,rescued,pet-images/pet44_20250923114233.webp,,,,2025-09-23 11:42:33,2025-09-23 11:42:33,48.0,3.8918202981106265,0,0.06049195249014813,2-5y
348,feline-orange-1758599624-mipx2,28,N/A,feline,4.0,years,male,neutered,orange,surrendered,pet-images/pet28_20250923115344.jpg,,,,2025-09-23 11:53:44,2025-09-23 11:53:44,48.0,3.8918202981106265,0,0.06049195249014813,2-5y
323,feline-black-1758598320-hcgvx,33,N/A,feline,3.0,years,female,neutered,black,rescued,pet-images/pet33_20250923113200.jpg,,,,2025-09-23 11:32:00,2025-09-23 11:32:00,36.0,3.6109179126442243,0,0.07151365175587569,2-5y
345,feline-orange-1758599382-n59hx,25,N/A,feline,3.0,years,female,neutered,orange,rescued,pet-images/pet25_20250923114942.webp,,,,2025-09-23 11:49:42,2025-09-23 11:49:42,36.0,3.6109179126442243,0,0.07151365175587569,2-5y
339,feline-orange-1758598929-dfzel,21,Unnamed,feline,3.0,years,male,neutered,orange,rescued,pet-images/pet21_20250923114209.jpg,,,,2025-09-23 11:42:09,2025-09-23 11:42:09,36.0,3.6109179126442243,0,0.09234837156537873,2-5y
326,feline-orange-1758598423-adhbq,16,Unnamed,feline,3.0,years,male,neutered,orange,surrendered,pet-images/pet16_20250923113343.jpg,,,,2025-09-23 11:33:43,2025-09-23 11:33:43,36.0,3.6109179126442243,0,0.09234837156537873,2-5y
346,feline-white-1758599519-vhae4,26,N/A,feline,3.0,years,male,intact,white,surrendered,pet-images/pet26_20250923115159.jfif,,,,2025-09-23 11:51:59,2025-09-23 11:51:59,36.0,3.6109179126442243,0,0.09234837156537873,2-5y
335,feline-bi-color-1758598773-rpjuw,20,Unnamed,feline,3.0,years,male,neutered,bi-color,surrendered,pet-images/pet20_20250923113933.jfif,,,,2025-09-23 11:39:33,2025-09-23 11:39:33,36.0,3.6109179126442243,0,0.09234837156537873,2-5y
4,feline-puspin-1743222814-zcjid,5,N/A,feline,2.0,years,female,unknown,tri-color,rescued,pet-images/pet5_20250910212021.jpg,,,,2025-03-29 12:33:00,2025-09-10 21:20:21,24.0,3.2188758248682006,0,0.1272959618526897,1-2y
327,feline-black-1758598479-bpz0l,17,Unnamed,feline,2.0,years,female,neutered,black,rescued,pet-images/pet17_20250923113439.jfif,,,,2025-09-23 11:34:39,2025-09-23 11:34:39,24.0,3.2188758248682006,0,0.1272959618526897,1-2y
6,feline-puspin-1743223216-g7uuc,7,N/A,feline,2.0,years,female,unknown,bi-color,rescued,pet-images/pet7_20250910211951.jpg,,,,2025-03-29 12:40:00,2025-09-10 21:19:51,24.0,3.2188758248682006,0,0.1272959618526897,1-2y
33,feline-puspin-1743507085-9x0ax,26,N/A,feline,2.0,years,female,unknown,bi-color,rescued,pet-images/pet26_20250910211939.jpg,,,,2025-04-01 19:31:00,2025-09-10 21:19:39,24.0,3.2188758248682006,0,0.1272959618526897,1-2y
325,feline-calico-1758598419-zqilf,35,N/A,feline,2.0,years,female,neutered,calico,rescued,pet-images/pet35_20250923113339.jfif,,,,2025-09-23 11:33:39,2025-09-23 11:33:39,24.0,3.2188758248682006,0,0.1272959618526897,1-2y
343,feline-orange-1758599236-ie0i4,23,Unnamed,feline,2.0,years,female,intact,orange,rescued,pet-images/pet23_20250923114716.jfif,,,,2025-09-23 11:47:16,2025-09-23 11:47:16,24.0,3.2188758248682006,0,0.1272959618526897,1-2y
347,feline-calico-1758599565-4yofv,27,N/A,feline,2.0,years,female,neutered,calico,rescued,pet-images/pet27_20250923115245.jpg,,,,2025-09-23 11:52:45,2025-09-23 11:52:45,24.0,3.2188758248682006,0,0.1272959618526897,1-2y
338,feline-calico-1758598907-6rfhm,43,N/A,feline,2.0,years,female,neutered,calico,rescued,pet-images/pet43_20250923114147.jpg,,,,2025-09-23 11:41:47,2025-09-23 11:41:47,24.0,3.2188758248682006,0,0.1272959618526897,1-2y
7,feline-puspin-1743223247-fsofq,8,N/A,feline,2.0,years,male,unknown,orange,rescued,pet-images/pet8_20250910212007.jpg,,,,2025-03-29 12:40:00,2025-09-10 21:20:07,24.0,3.2188758248682006,0,0.16155451180985242,1-2y
306,feline-bi-color-1758597533-fxxtc,6,Unnamed,feline,2.0,years,male,neutered,bi-color,rescued,pet-images/pet6_20250923111853.webp,,,,2025-09-23 11:18:53,2025-09-23 11:18:53,24.0,3.2188758248682006,0,0.16155451180985242,1-2y
30,feline-puspin-1743506986-tlxwx,22,N/A,feline,1.0,years,female,unknown,tri-color,rescued,pet-images/pet22_20250910211414.jpg,,,,2025-04-01 19:29:00,2025-09-10 21:14:14,12.0,2.5649493574615367,0,0.2973559639536796,6-12m
321,feline-black-1758598207-domqy,31,N/A,feline,1.0,years,female,neutered,bi-color,rescued,pet-images/pet31_20250923113007.jfif,,,,2025-09-23 11:30:07,2025-09-23 11:31:16,12.0,2.5649493574615367,0,0.2973559639536796,6-12m
312,feline-tri-color-1758597696-q9ltb,9,Unnamed,feline,1.0,years,female,neutered,tri-color,rescued,pet-images/pet9_20250923112136.jpg,,,,2025-09-23 11:21:36,2025-09-23 11:21:36,12.0,2.5649493574615367,0,0.2973559639536796,6-12m
2,feline-puspin-1743221743-kqnz6,3,N/A,feline,1.0,years,female,unknown,white,rescued,pet-images/pet3_20250910211724.jpg,,,,2025-03-29 12:15:00,2025-09-10 21:17:24,12.0,2.5649493574615367,0,0.2973559639536796,6-12m
27,feline-puspin-1743506840-6e7yd,20,N/A,feline,1.0,years,female,unknown,bi-color,rescued,pet-images/pet20_20250910211501.jpg,,,,2025-04-01 19:27:00,2025-09-10 21:15:01,12.0,2.5649493574615367,0,0.2973559639536796,6-12m
26,feline-puspin-1743506734-zvtjw,19,N/A,feline,1.0,years,female,unknown,black,rescued,pet-images/pet19_20250910211544.jpg,,,,2025-04-01 19:25:00,2025-09-10 21:15:44,12.0,2.5649493574615367,0,0.2973559639536796,6-12m
